section,title,from,to,notes
1,Missae solemnes cum Clarinis & Tympanis,1,24v,
2,Missae ordinariae sine Clarinis,25r,44v,also fol. 329r–330v (no. 167–182)
3,Motettae de Venerabili Sacramento,45r,49v,
4,Motettae de SS. Nomine Jesu,50r,54v,
5,Motettae de Paschae et Pentecoste,55r,59v,
6,Motetta veni Scte: Spiritus,60r,62v,no title page
7,Offertoria de SS. Trinitate,63r,66v,
8,Motettae de Beata,67r,74v,
9,Motettae de Apostolis,75r,79v,
10,Motettae de Martyribus,81r,85v,
11,Motettae de Confessoribus,86r,91v,
12,Motettae Miscellaneae De Tempore & Sanctis,92r,98v,
13,"Vesperae Dominicales, cum Clarinis",99r,103v,
14,"Vesperae Dominicales, sine Clarinis",104r,108v,
15,Vesperae de B.V. Maria cum Clarinis,109r,112v,
16,Vesperae de B.M.V. sine Clarinis,113r,118v,
17,Psalmus Dixit Dominus cum Clarinis,119r,124v,
18,Psalmus Dixit Dominus sine Clarinis,125r,128v,
19,Psalmus Confitebor,129r,133v,
20,Psalmus Beatus vir,134r,138v,
21,Psalmus Laudate pueri,139r,143v,
22,Psalmi varii,144r,151v,
23,Psalmus Magnificat cum Clarinis,152r,158v,
24,Psalmus Magnificat sine Clarinis,159r,162v,
25,Missae De Requiem,163r,169v,
26,Dies irae & Offertoria pro Defunctis,170r,175v,
27,Psalmus Miserere,176r,183v,
28,Hymnus Stabat Mater,184r,188v,
29,Litaniae de B. Maria Virgine cum Clarinis,189r,196v,
30,Litaniae de B.M.V. sine Clarinis simul De Venerab[i]li Sacr[amento] & Passione D[omi]ni,197r,210v,
31,Sub tuum Praesidium,211r,215v,
32,Antiphona Salve Regina,216r,230v,
33,Antiphona Alma Redemptoris,231r,238v,
34,Antiphona Ave Regina,239r,244v,
35,Antiphona Regina coeli laetare,245r,251v,
36,Introitus Missarum,252r,256v,
37,Hymni Vesperarum,257r,261v,
38,Hymnus Te Deum Laudamus,262r,267v,
39,Antiphona Veni Sancte Spiritus,268r,270v,
40,Oratoria pro Sepulchro Domini,271r,277v,
41,Cantilenae de Venerabili Sacramento,278r,285v,
42,Cantilenae de Passione Domini,286r,290v,
43,Cantilenae de B. Maria Virgine,291r,298v,
44,Pastorellae,299r,304v,
45,Sinfoniae & Sonatae,305r,315v,
46,Parthiae,316r,325v,
47,Applausus Music,326r,328v,
